,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,avarua,0,CK,1564418354,83,-21.21,-159.78,296.15,7.7
1,rikitea,100,PF,1564418354,79,-23.12,-134.97,294.09,9.8
2,klaksvik,30,FO,1564418354,87,62.23,-6.59,288.15,2.1
3,chuy,85,UY,1564418354,83,-33.69,-53.46,287.39,2.24
4,albany,40,US,1564418110,62,42.65,-73.75,303.71,3.1
5,vaini,100,IN,1564418355,90,15.34,74.49,297.79,3.99
6,butaritari,44,KI,1564418355,72,3.07,172.79,301.99,2.78
7,saint-philippe,1,CA,1564418355,58,45.36,-73.48,304.26,5.7
8,hithadhoo,75,MV,1564418355,70,-0.6,73.08,302.29,3.88
9,ushuaia,0,AR,1564418238,69,-54.81,-68.31,275.15,1.29
10,hermanus,51,ZA,1564418356,67,-34.42,19.24,290.93,4.92
11,hobart,75,AU,1564418356,56,-42.88,147.33,280.15,1.12
12,provideniya,100,RU,1564418356,93,64.42,-173.23,279.99,4.32
13,burgeo,63,CA,1564418356,94,47.61,-57.61,288.19,4.76
14,lompoc,90,US,1564418357,87,34.64,-120.46,290.15,3.6
15,coquimbo,0,CL,1564418357,72,-29.95,-71.34,288.15,5.7
16,busselton,49,AU,1564418357,67,-33.64,115.35,280.93,5.15
17,bethel,75,US,1564418357,100,60.79,-161.76,285.15,3.6
18,codrington,90,AU,1564418358,100,-28.95,153.24,284.82,1.52
19,bubaque,100,GW,1564418358,87,11.28,-15.83,299.19,7.98
20,chokurdakh,96,RU,1564418358,94,70.62,147.9,275.09,3.94
21,kavieng,87,PG,1564418358,77,-2.57,150.8,299.19,2.3
22,bluff,39,AU,1564418358,55,-23.58,149.07,286.99,2.05
23,marsh harbour,17,BS,1564418247,64,26.54,-77.06,302.59,1.91
24,port alfred,2,ZA,1564418359,42,-33.59,26.89,296.48,2.24
25,bredasdorp,23,ZA,1564418359,76,-34.53,20.04,290.93,2.1
26,kulhudhuffushi,100,MV,1564418359,70,6.62,73.07,301.39,2.27
27,hilo,90,US,1564418359,94,19.71,-155.08,295.37,2.1
28,lavrentiya,100,RU,1564418359,88,65.58,-170.99,280.59,4.54
29,east london,0,ZA,1564418360,40,-33.02,27.91,296.15,2.6
30,hami,0,CN,1564418360,12,42.84,93.51,300.29,5.64
31,nanortalik,16,GL,1564418360,90,60.14,-45.24,276.59,2.24
32,lebu,90,ET,1564418360,77,8.96,38.73,290.15,3.1
33,faya,40,SA,1564418360,60,18.39,42.45,298.15,3.1
34,celestun,31,MX,1564418361,81,20.87,-90.4,300.29,5.67
35,punta arenas,40,CL,1564418361,69,-53.16,-70.91,277.15,4.1
36,thompson,20,CA,1564418361,54,55.74,-97.86,287.15,4.6
37,pevek,100,RU,1564418361,97,69.7,170.27,273.09,4.45
38,caravelas,25,BR,1564418361,66,-17.73,-39.27,296.69,4.35
39,san cristobal,47,HN,1564418291,33,14.68,-86.92,303.39,5.39
40,kapaa,75,US,1564418362,74,22.08,-159.32,300.15,5.1
